1	2너는 일어나 저 큰 성읍 니느웨로 가서 그 성읍을 향하여 외쳐라. 그들의 악행이 내 앞에까지 올라왔기 때문이다."" 
1	3	그러나 요나는 여호와의 얼굴을 피하여 다시스로 도망하려고 일어나 욥바로 내려갔더니, 다시스로 가는 배를 만났다. 여호와의 얼굴을 피하여 그들과 함께 다시스로 가려고 뱃삯을 내고 그 배에 올랐다. 
1	4	여호와께서 바다 위에 강한 바람을 보내시니, 그 바다 가운데서 큰 폭풍이 일어나 배가 부서지게 되었다. 
1	5	선원들은 두려워서 각자 자기의 신들에게 부르짖고, 배를 가볍게 하려고 배 안의 짐들을 바다에 내던졌다. 그러나 요나는 배 밑창에 내려가 누워 깊은 잠에 빠져 있었다. 
1	6	선장이 그에게 다가가서 말하기를 당신은 어찌 잠을 자고 있소? 일어나서 당신의 신에게 부르짖으시오. 만약 그 신이 우리를 생각해 준다면 우리는 죽지 않을 수도 있소." 하였고 
1	8	그들이 요나에게 묻기를 누구 때문에 우리가 이 재앙을 당하게 되었는지 말해 보시오. 당신의 직업은 무엇이며 
1	11	바다가 점점 더 사나워지자 그들이 요나에게 말하기를 우리가 당신을 어떻게 하여야 바다가 우리 앞에서 잔잔해지겠소?" 하니 
1	13	그 사람들이 노를 저어 육지로 돌아가려고 하였으나 그렇게 할 수가 없었으니, 이는 바다가 점점 더 사나워지고 있었기 때문이었다. 
1	14	그들은 여호와께 부르짖어 말하기를 여호와시여 
1	16	그 사람들은 여호와를 매우 두려워하게 되어 여호와께 희생 제물을 드리고 서원하였다. 
1	17	여호와께서는 큰 물고기를 준비하셨다가 요나를 삼키게 하셨으므로, 요나는 밤낮 사흘 동안 물고기 뱃속에 있었다.
