9	1주님, 나의 마음을 다 바쳐서, 감사를 드립니다. 주의 놀라운 행적을 낱낱이 전파하겠습니다. (c. 시9-10편은 각 연의 첫 글자가 히브리어 자음 문자 순서로 되어 있는 시. 70인역에는 한 편의 시로 묶여 있음) 
9	2	가장 높으신 주님, 내가 주님 때문에, 기뻐하고 즐거워하며, 주의 이름을 노래합니다. 
9	3	주께서 나타나시면, 내 원수들은 뒤돌아서 도망을 치다가, 비틀비틀 넘어져서 죽고 맙니다. 
9	4	주님은 공정하신 재판장이시기에, 보좌에 앉으셔서 내 의와 송사를 변호해 주셨습니다. 
9	5	주께서 이방 나라들을 문책하시고, 악인을 멸하시며, 그 이름들을 영원히 지워 버리셨습니다. 
9	6	원수들은 영원히 자취도 없이 사라졌습니다. 주께서 그 성읍들을 뿌리째 뽑으셨으므로, 아무도 그들을 기억조차 못하게 되었습니다. 
9	7	주님은 영원토록 다스리실 왕이시다. 심판하실 보좌를 이미 마련하여 두셨으므로 
9	8	그는 정의로 세계를 다스리시며, 공정하게 만백성을 판결하신다. 
9	9	주님은 억압받는 이들이 피할 수 있는 요새이시며, 고난을 받을 때에 피신할 수 있는 견고한 성이십니다. 
9	10	주님, 주님을 따르는 사람을 주께서는 결단코 버리지 않으시므로, 주의 이름을 아는 사람들이 주님만 의지합니다. 
9	11	너희는 시온의 보좌에 앉으신 주님을 찬양하여라. 그가 하신 일을 만민에게 알려라. 
9	12	살인자에게 보복하시는 분께서 억울하게 죽어 간 사람들을 기억하시며, 고난받는 사람의 부르짖음을 모르는 체하지 않으신다. 
9	13	주님, 나에게 은혜를 베풀어 주십시오. 죽음의 문에서 나를 이끌어 내신 주님, 나를 미워하는 자들이 나에게 주는 그 고통을 살펴 주십시오. 
9	14	그렇게 하시면 주께서 찬양 받으실 모든 일을 내가 전파하겠습니다. 주께서 베푸신 그 구원을, 딸 시온의 성문에서 크게 기뻐하며 외치겠습니다. 
9	15	다른 나라들은, 자기가 판 함정에 자기가 빠지고, 자기가 몰래 쳐 놓은 덫에 자기 발이 먼저 걸리는구나. 
9	16	주님은 공정한 심판으로 그 모습 드러내시고, 악한 사람은 자기가 꾀한 일에 스스로 걸려 드는구나. (a) 힉가욘, 셀라) (a. 명상, 음악 용어) 
9	17	악인들이 갈 곳은 b) 스올, 하나님을 거역한 모든 나라들이 갈 곳도 그 곳뿐이다. (b. 또는 무덤, 또는 죽음) 
9	18	그러나 가난한 사람이 끝까지 잊혀지는 일이 없으며, 고난받는 사람의 희망도 영원히 사라지지는 않는다. 
9	19	주님, 일어나십시오. 사람이 주께 맞서지 못하게 하십시오. 주께서 저 이방 나라들을 심판하십시오. 
9	20	주님, 그들을 두려움에 떨게 하시며, 자신들이 한낱 사람에 지나지 않음을 스스로 알게 하여 주십시오. (셀라)
